Gözlem Yapılan Servis Adı;Servis Türü;Gözlem Tarihi;Gözlemci Meslek;Cinsiyet;Hasta İle Temas Öncesi;Hasta İle Temas Sonrası;Aseptik İşlemler Öncesi;Vücus Sıvıları İle Bulaşma Sonrası;Hasta Çevresi İle Temas Sonrası
Nöroloji;Yoğun Bakım;1.03.2019;Doktor;E;Ovma;Ovma;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı
Nöroloji;Yoğun Bakım;1.03.2019;Doktor;K;Gözlem Dışı;Ovma;Ovma;Gözlem Dışı;Gözlem Dışı
Nöroloji;Yoğun Bakım;1.03.2019;Doktor;K;Gözlem Dışı;Ovma;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı
Nöroloji;Yoğun Bakım;1.02.2019;Hasta Bakıcı;E;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı;Yok;Gözlem Dışı
Nöroloji;Yoğun Bakım;1.04.2019;Hemşire;K;Ovma;Yok;Gözlem Dışı;Gözlem Dışı;Ovma
Nöroloji;Yoğun Bakım;1.04.2019;Hemşire;K;Ovma;Yok;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı
Nöroloji;Yoğun Bakım;1.04.2019;Doktor;E;Gözlem Dışı;Yıkama;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı
Nöroloji;Yoğun Bakım;1.04.2019;Doktor;K;Ovma;Ovma;Ovma;Yıkama;Ovma
Nöroloji;Yoğun Bakım;1.04.2019;Doktor;K;Ovma;Ovma;Gözlem Dışı;Gözlem Dışı;Yok
Nöroloji;Yoğun Bakım;1.04.2019;Doktor;K;Yok;Ovma;Gözlem Dışı;Gözlem Dışı;Yok
Nöroloji;Yoğun Bakım;1.04.2019;Doktor;K;Yok;Yok;Gözlem Dışı;Gözlem Dışı;Ovma
Nöroloji;Yoğun Bakım;1.04.2019;Doktor;K;Ovma;Yok;Ovma;Yıkama;Ovma
Nöroloji;Yoğun Bakım;1.04.2019;Hemşire;K;Yok;Yok;Ovma;Gözlem Dışı;Ovma
Nöroloji;Yoğun Bakım;1.04.2019;Hemşire;K;Ovma;Ovma;Gözlem Dışı;Gözlem Dışı;Yok
Nöroloji;Yoğun Bakım;1.04.2019;Hemşire;K;Ovma;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı
Nöroloji;Yoğun Bakım;1.04.2019;Hemşire;K;Gözlem Dışı;Ovma;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı
Nöroloji;Yoğun Bakım;1.04.2019;Hemşire;K;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı;Ovma
Nöroloji;Yoğun Bakım;1.04.2019;Hemşire;K;Ovma;Ovma;Gözlem Dışı;Gözlem Dışı;Ovma
Nöroloji;Yoğun Bakım;1.04.2019;Hasta Bakıcı;E;Ovma;Ovma;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı
Nöroloji;Yoğun Bakım;1.04.2019;Hasta Bakıcı;K;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı;Ovma
Nöroloji;Yoğun Bakım;1.04.2019;Hemşire;K;Ovma;Ovma;Gözlem Dışı;Yıkama;Gözlem Dışı
Nöroloji;Yoğun Bakım;1.04.2019;Hemşire;K;Ovma;Ovma;Ovma;Yıkama;Yok
Nöroloji;Yoğun Bakım;1.04.2019;Hemşire;K;Yok;Yıkama;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı
Nöroloji;Yoğun Bakım;1.04.2019;Hemşire;K;Gözlem Dışı;Gözlem Dışı;Yok;Yıkama;Ovma
Nöroloji;Yoğun Bakım;1.04.2019;Hemşire;K;Ovma;Ovma;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı
Nöroloji;Yoğun Bakım;1.04.2019;Hemşire;K;Ovma;Ovma;Ovma;Yıkama;Ovma
Nöroloji;Yoğun Bakım;1.04.2019;Hemşire;K;Ovma;Ovma;Gözlem Dışı;Gözlem Dışı;Ovma
Nöroloji;Yoğun Bakım;1.04.2019;Hemşire;K;Yok;Yok;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı
Nöroloji;Yoğun Bakım;1.04.2019;Hasta Bakıcı;E;Ovma;Ovma;Gözlem Dışı;Yıkama;Yok
Nöroloji;Yoğun Bakım;1.04.2019;Hasta Bakıcı;E;Ovma;Ovma;Gözlem Dışı;Yıkama;Ovma
Nöroloji;Yoğun Bakım;1.04.2019;Hasta Bakıcı;K;Yok;Yok;Gözlem Dışı;Gözlem Dışı;Yok
Nöroloji;Yoğun Bakım;1.04.2019;Hasta Bakıcı;E;Ovma;Yok;Gözlem Dışı;Yok;Ovma
Nöroloji;Yoğun Bakım;1.06.2019;Hasta Bakıcı;E;Ovma;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı
Nöroloji;Yoğun Bakım;1.06.2019;Doktor;K;Gözlem Dışı;Gözlem Dışı;Yok;Yok;Gözlem Dışı
Anestezi;Standart;1.01.2019;Hemşire;E;Ovma;Ovma;Ovma;Ovma;Ovma
Anestezi;Standart;1.01.2019;Hemşire;K;Yok;Yok;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı
Anestezi;Standart;1.01.2019;Hemşire;E;Ovma;Ovma;Gözlem Dışı;Gözlem Dışı;Ovma
Anestezi;Standart;1.01.2019;Hemşire;E;Ovma;Ovma;Gözlem Dışı;Gözlem Dışı;Ovma
Anestezi;Standart;1.01.2019;Doktor;E;Ovma;Ovma;Ovma;Ovma;Ovma
Anestezi;Standart;1.01.2019;Hemşire;K;Gözlem Dışı;Gözlem Dışı;Ovma;Gözlem Dışı;Ovma
Anestezi;Standart;1.01.2019;Hemşire;K;Gözlem Dışı;Ovma;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı
Anestezi;Standart;1.01.2019;Hemşire;E;Gözlem Dışı;Ovma;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı
Anestezi;Standart;1.01.2019;Hemşire;K;Ovma;Ovma;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı
Anestezi;Standart;1.01.2019;Hemşire;K;Ovma;Ovma;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı
Anestezi;Standart;1.01.2019;Hemşire;E;Gözlem Dışı;Ovma;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı
Anestezi;Standart;1.01.2019;Hemşire;E;Ovma;Ovma;Gözlem Dışı;Gözlem Dışı;Ovma
Anestezi;Standart;1.01.2019;Hemşire;K;Ovma;Ovma;Ovma;Ovma;Gözlem Dışı
Anestezi;Standart;1.01.2019;Hemşire;K;Ovma;Ovma;Ovma;Ovma;Ovma
Anestezi;Standart;1.01.2019;Hemşire;K;Ovma;Ovma;Ovma;Ovma;Ovma
Anestezi;Standart;1.01.2019;Hemşire;K;Ovma;Ovma;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı
Anestezi;Standart;1.01.2019;Hemşire;K;Ovma;Gözlem Dışı;Ovma;Ovma;Gözlem Dışı
Anestezi;Standart;1.01.2019;Hemşire;E;Gözlem Dışı;Yıkama;Ovma;Gözlem Dışı;Yıkama
Anestezi;Standart;1.01.2019;Hemşire;K;Ovma;Ovma;Ovma;Ovma;Ovma
Anestezi;Standart;1.01.2019;Hasta Bakıcı;K;Ovma;Yok;Gözlem Dışı;Yıkama;Gözlem Dışı
Anestezi;Standart;1.01.2019;Hemşire;K;Yok;Yok;Gözlem Dışı;Yıkama;Gözlem Dışı
Anestezi;Standart;1.01.2019;Hemşire;K;Gözlem Dışı;Gözlem Dışı;Yok;Gözlem Dışı;Gözlem Dışı
Anestezi;Standart;1.01.2019;Hasta Bakıcı;E;Yok;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı
Anestezi;Standart;1.01.2019;Hasta Bakıcı;E;Yıkama;Ovma;Gözlem Dışı;Yıkama;Gözlem Dışı
Anestezi;Standart;1.01.2019;Hasta Bakıcı;E;Yok;Yok;Gözlem Dışı;Yıkama;Yok
Anestezi;Standart;1.02.2019;Hasta Bakıcı;E;Ovma;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı
Anestezi;Standart;1.02.2019;Hasta Bakıcı;E;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı;Ovma
Anestezi;Standart;1.02.2019;Hasta Bakıcı;E;Ovma;Ovma;Gözlem Dışı;Yıkama;Gözlem Dışı
Anestezi;Standart;1.02.2019;Hasta Bakıcı;E;Yok;Yok;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı
Anestezi;Standart;1.02.2019;Hasta Bakıcı;E;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı;Yıkama;Yok
Anestezi;Standart;1.02.2019;Doktor;K;Ovma;Ovma;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı
Anestezi;Standart;1.02.2019;Doktor;E;Ovma;Ovma;Ovma;Ovma;Ovma
Anestezi;Standart;1.02.2019;Doktor;E;Yok;Yok;Yok;Yok;Yok
Anestezi;Standart;1.03.2019;Hemşire;Bilgi Yok;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı;Yok;Yok
Anestezi;Standart;1.03.2019;Doktor;E;Yıkama;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı
Anestezi;Standart;1.03.2019;Doktor;Bilgi Yok;Gözlem Dışı;Gözlem Dışı;Ovma;Gözlem Dışı;Gözlem Dışı
Anestezi;Standart;1.03.2019;Hemşire;Bilgi Yok;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı;Yok;Yok
Anestezi;Standart;1.03.2019;Hemşire;Bilgi Yok;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı;Yok;Yok
Anestezi;Standart;1.03.2019;Hemşire;Bilgi Yok;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı;Yıkama;Gözlem Dışı
Anestezi;Standart;1.03.2019;Hemşire;K;Gözlem Dışı;Gözlem Dışı;Yok;Gözlem Dışı;Gözlem Dışı
Anestezi;Standart;1.04.2019;Doktor;K;Gözlem Dışı;Gözlem Dışı;Yok;Gözlem Dışı;Gözlem Dışı
Anestezi;Standart;1.04.2019;Doktor;K;Gözlem Dışı;Gözlem Dışı;Yok;Yıkama;Gözlem Dışı
Anestezi;Standart;1.04.2019;Doktor;E;Yok;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı
Anestezi;Standart;1.04.2019;Doktor;K;Yok;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı
Anestezi;Standart;1.04.2019;Doktor;K;Gözlem Dışı;Gözlem Dışı;Yok;Gözlem Dışı;Gözlem Dışı
Anestezi;Standart;1.03.2019;Doktor;K;Yok;Gözlem Dışı;Yok;Gözlem Dışı;Gözlem Dışı
Anestezi;Standart;1.03.2019;Doktor;K;Yok;Gözlem Dışı;Yok;Gözlem Dışı;Gözlem Dışı
Anestezi;Standart;1.03.2019;Hemşire;K;Yok;Ovma;Yok;Yıkama;Ovma
Anestezi;Standart;1.03.2019;Hemşire;K;Gözlem Dışı;Gözlem Dışı;Yok;Gözlem Dışı;Gözlem Dışı
Anestezi;Standart;1.03.2019;Doktor;E;Ovma;Gözlem Dışı;Ovma;Gözlem Dışı;Gözlem Dışı
Anestezi;Standart;1.03.2019;Doktor;E;Ovma;Gözlem Dışı;Ovma;Gözlem Dışı;Gözlem Dışı
Anestezi;Standart;1.03.2019;Doktor;E;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı;Yıkama;Gözlem Dışı
Anestezi;Standart;1.03.2019;Doktor;E;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı;Yıkama;Gözlem Dışı
Anestezi;Standart;1.03.2019;Doktor;K;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı;Yıkama;Gözlem Dışı
Anestezi;Standart;1.03.2019;Hemşire;E;Ovma;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı
Anestezi;Standart;1.03.2019;Hemşire;K;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı;Yok;Gözlem Dışı
Anestezi;Standart;1.03.2019;Hemşire;K;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı;Yok;Gözlem Dışı
Anestezi;Standart;1.03.2019;Hemşire;E;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı;Yıkama;Gözlem Dışı
Anestezi;Standart;1.03.2019;Hemşire;E;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı;Yıkama;Gözlem Dışı
Anestezi;Standart;1.03.2019;Hasta Bakıcı;E;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı;Yok;Gözlem Dışı
Anestezi;Standart;1.03.2019;Hasta Bakıcı;K;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı;Yok;Gözlem Dışı
Anestezi;Standart;1.03.2019;Hasta Bakıcı;E;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı;Yok;Gözlem Dışı
Anestezi;Standart;1.03.2019;Hasta Bakıcı;E;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı;Yıkama;Gözlem Dışı
Anestezi;Standart;1.03.2019;Hemşire;K;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı;Yıkama;Gözlem Dışı
Anestezi;Standart;1.03.2019;Hemşire;K;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı;Yıkama;Gözlem Dışı
Anestezi;Standart;1.03.2019;Hemşire;K;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı;Yıkama;Gözlem Dışı
Anestezi;Standart;1.10.2018;Hemşire;E;Ovma;Ovma;Gözlem Dışı;Gözlem Dışı;Ovma
Anestezi;Standart;1.10.2018;Hemşire;K;Gözlem Dışı;Ovma;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı
Anestezi;Standart;1.10.2018;Hemşire;K;Yok;Ovma;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı
Anestezi;Standart;1.10.2018;Doktor;K;Gözlem Dışı;Yıkama;Gözlem Dışı;Gözlem Dışı;Ovma
Anestezi;Standart;1.10.2018;Hemşire;K;Gözlem Dışı;Ovma;Gözlem Dışı;Gözlem Dışı;Ovma
Anestezi;Standart;1.10.2018;Hemşire;K;Gözlem Dışı;Ovma;Ovma;Gözlem Dışı;Ovma
Anestezi;Standart;1.10.2018;Doktor;K;Ovma;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı;Ovma
Anestezi;Standart;1.10.2018;Hemşire;K;Gözlem Dışı;Ovma;Gözlem Dışı;Gözlem Dışı;Ovma
Anestezi;Standart;1.10.2018;Doktor;E;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı;Ovma
Anestezi;Standart;1.10.2018;Doktor;K;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı;Ovma
Anestezi;Standart;1.10.2018;Doktor;K;Gözlem Dışı;Gözlem Dışı;Ovma;Gözlem Dışı;Ovma
Anestezi;Standart;1.10.2018;Hemşire;K;Gözlem Dışı;Ovma;Gözlem Dışı;Gözlem Dışı;Ovma
Anestezi;Standart;1.10.2018;Doktor;K;Yok;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı;Ovma
Anestezi;Standart;1.10.2018;Doktor;K;Ovma;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı
Anestezi;Standart;1.10.2018;Doktor;K;Gözlem Dışı;Ovma;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı
Anestezi;Standart;1.10.2018;Doktor;E;Yok;Ovma;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı
Anestezi;Standart;1.12.2018;Hemşire;K;Gözlem Dışı;Ovma;Gözlem Dışı;Gözlem Dışı;Ovma
Anestezi;Standart;1.12.2018;Doktor;K;Gözlem Dışı;Yıkama;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı
Anestezi;Standart;1.12.2018;Hemşire;K;Yıkama;Ovma;Yok;Ovma;Yok
Anestezi;Standart;1.12.2018;Hemşire;K;Ovma;Gözlem Dışı;Ovma;Yıkama;Yıkama
Anestezi;Standart;1.12.2018;Hasta Bakıcı;E;Yıkama;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı
Anestezi;Standart;1.12.2018;Hasta Bakıcı;E;Yıkama;Ovma;Gözlem Dışı;Yıkama;Yok
Anestezi;Standart;1.12.2018;Hasta Bakıcı;E;Ovma;Yok;Gözlem Dışı;Yıkama;Gözlem Dışı
Anestezi;Standart;1.12.2018;Hasta Bakıcı;E;Ovma;Gözlem Dışı;Gözlem Dışı;Yıkama;Yıkama
Anestezi;Standart;1.12.2018;Hasta Bakıcı;E;Ovma;Ovma;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı
Anestezi;Standart;1.12.2018;Hasta Bakıcı;E;Ovma;Ovma;Gözlem Dışı;Gözlem Dışı;Yok
Anestezi;Standart;1.12.2018;Hasta Bakıcı;E;Ovma;Yok;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı
Anestezi;Standart;1.12.2018;Hasta Bakıcı;E;Yok;Yok;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı
Anestezi;Standart;1.12.2018;Hasta Bakıcı;E;Ovma;Yıkama;Gözlem Dışı;Yıkama;Gözlem Dışı
Anestezi;Standart;1.12.2018;Hasta Bakıcı;E;Yok;Yok;Gözlem Dışı;Yıkama;Gözlem Dışı
Anestezi;Standart;1.12.2018;Hasta Bakıcı;E;Yıkama;Yıkama;Gözlem Dışı;Yıkama;Gözlem Dışı
Anestezi;Standart;1.12.2018;Hasta Bakıcı;E;Yok;Ovma;Gözlem Dışı;Yok;Gözlem Dışı
Anestezi;Standart;1.12.2018;Hasta Bakıcı;E;Yok;Yok;Gözlem Dışı;Yıkama;Yok
Anestezi;Standart;1.12.2018;Hasta Bakıcı;E;Ovma;Ovma;Gözlem Dışı;Yıkama;Gözlem Dışı
Anestezi;Standart;1.12.2018;Hasta Bakıcı;E;Yok;Yok;Gözlem Dışı;Yok;Yok
Anestezi;Standart;1.12.2018;Hemşire;K;Ovma;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı
Anestezi;Standart;1.12.2018;Doktor;E;Gözlem Dışı;Yok;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı
Anestezi;Standart;1.12.2018;Doktor;E;Gözlem Dışı;Yok;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı
Anestezi;Standart;1.12.2018;Doktor;E;Gözlem Dışı;Yok;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı
Anestezi;Standart;1.12.2018;Doktor;K;Gözlem Dışı;Yok;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı
Anestezi;Standart;1.12.2018;Doktor;E;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı;Yok
Anestezi;Standart;1.12.2018;Doktor;Bilgi Yok;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı;Yok;Yok
Anestezi;Standart;1.12.2018;Doktor;E;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı;Yok;Yok
Anestezi;Standart;1.12.2018;Doktor;K;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı;Yok;Yok
Anestezi;Standart;1.12.2018;Doktor;K;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı;Yok
Anestezi;Standart;1.12.2018;Doktor;K;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı;Yok
Anestezi;Standart;1.12.2018;Hemşire;K;Ovma;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı
Anestezi;Standart;1.12.2018;Hemşire;Bilgi Yok;Ovma;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı
Anestezi;Standart;1.04.2019;Hemşire;K;Ovma;Ovma;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı
Anestezi;Standart;1.04.2019;Hemşire;K;Ovma;Ovma;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı
Anestezi;Standart;1.04.2019;Hemşire;K;Gözlem Dışı;Ovma;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı
Anestezi;Standart;1.04.2019;Hemşire;E;Gözlem Dışı;Ovma;Ovma;Gözlem Dışı;Ovma
Anestezi;Standart;1.04.2019;Hemşire;K;Gözlem Dışı;Gözlem Dışı;Yok;Yok;Gözlem Dışı
Anestezi;Standart;1.04.2019;Hemşire;Bilgi Yok;Gözlem Dışı;Ovma;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı
Anestezi;Standart;1.04.2019;Hemşire;K;Ovma;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı
Anestezi;Standart;1.04.2019;Hemşire;K;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı;Ovma
Anestezi;Standart;1.04.2019;Hemşire;K;Gözlem Dışı;Gözlem Dışı;Yok;Gözlem Dışı;Gözlem Dışı
Anestezi;Standart;1.04.2019;Hemşire;K;Gözlem Dışı;Ovma;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı
Anestezi;Standart;1.04.2019;Hemşire;K;Gözlem Dışı;Gözlem Dışı;Ovma;Gözlem Dışı;Ovma
Anestezi;Standart;1.04.2019;Hemşire;K;Gözlem Dışı;Ovma;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı
Anestezi;Standart;1.04.2019;Hemşire;E;Gözlem Dışı;Ovma;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı
Anestezi;Standart;1.04.2019;Hemşire;E;Gözlem Dışı;Ovma;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı
Anestezi;Standart;1.04.2019;Hemşire;K;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı;Ovma
Anestezi;Standart;1.04.2019;Hemşire;E;Ovma;Ovma;Gözlem Dışı;Gözlem Dışı;Ovma
Anestezi;Standart;1.04.2019;Hemşire;K;Gözlem Dışı;Gözlem Dışı;Ovma;Gözlem Dışı;Gözlem Dışı
Anestezi;Standart;1.04.2019;Hemşire;K;Gözlem Dışı;Ovma;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı
Anestezi;Standart;1.04.2019;Hemşire;K;Gözlem Dışı;Gözlem Dışı;Ovma;Gözlem Dışı;Ovma
Anestezi;Standart;1.04.2019;Hemşire;K;Gözlem Dışı;Ovma;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı
Anestezi;Standart;1.04.2019;Hemşire;E;Gözlem Dışı;Ovma;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı
Anestezi;Standart;1.04.2019;Hemşire;K;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı;Ovma;Ovma
Anestezi;Standart;1.04.2019;Hemşire;E;Gözlem Dışı;Ovma;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı
Anestezi;Standart;1.04.2019;Doktor;K;Ovma;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı
Anestezi;Standart;1.04.2019;Hemşire;E;Gözlem Dışı;Ovma;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı
Anestezi;Standart;1.04.2019;Hemşire;E;Ovma;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı
Anestezi;Standart;1.04.2019;Hemşire;K;Yok;Gözlem Dışı;Gözlem Dışı;Yok;Gözlem Dışı
Anestezi;Standart;1.04.2019;Hemşire;E;Ovma;Ovma;Ovma;Ovma;Ovma
Anestezi;Standart;1.04.2019;Hemşire;E;Ovma;Ovma;Gözlem Dışı;Gözlem Dışı;Ovma
Anestezi;Standart;1.04.2019;Hemşire;K;Ovma;Ovma;Gözlem Dışı;Gözlem Dışı;Ovma
Anestezi;Standart;1.04.2019;Doktor;E;Ovma;Ovma;Ovma;Ovma;Ovma
Anestezi;Standart;1.04.2019;Hemşire;Bilgi Yok;Gözlem Dışı;Ovma;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı
Anestezi;Standart;1.04.2019;Doktor;E;Yok;Yok;Gözlem Dışı;Gözlem Dışı;Yok
Anestezi;Standart;1.04.2019;Hemşire;K;Yok;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı
Anestezi;Standart;1.04.2019;Hemşire;Bilgi Yok;Ovma;Ovma;Gözlem Dışı;Gözlem Dışı;Ovma
Anestezi;Standart;1.04.2019;Doktor;E;Yok;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı
Anestezi;Standart;1.04.2019;Hemşire;Bilgi Yok;Gözlem Dışı;Ovma;Gözlem Dışı;Gözlem Dışı;Ovma
Anestezi;Standart;1.04.2019;Doktor;K;Gözlem Dışı;Ovma;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı
Anestezi;Standart;1.04.2019;Doktor;K;Ovma;Yıkama;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı
Anestezi;Standart;1.04.2019;Doktor;E;Yok;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı
Anestezi;Standart;1.04.2019;Hemşire;K;Gözlem Dışı;Gözlem Dışı;Yok;Gözlem Dışı;Gözlem Dışı
Anestezi;Standart;1.04.2019;Hemşire;Bilgi Yok;Gözlem Dışı;Yıkama;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı
Anestezi;Standart;1.04.2019;Hemşire;Bilgi Yok;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı;Ovma
Anestezi;Standart;1.04.2019;Doktor;K;Gözlem Dışı;Ovma;Gözlem Dışı;Gözlem Dışı;Ovma
Anestezi;Standart;1.04.2019;Doktor;E;Gözlem Dışı;Yok;Yok;Gözlem Dışı;Gözlem Dışı
Anestezi;Standart;1.04.2019;Hemşire;K;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı;Ovma
Anestezi;Standart;1.04.2019;Hemşire;K;Yıkama;Ovma;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı
Anestezi;Standart;1.04.2019;Hemşire;Bilgi Yok;Gözlem Dışı;Ovma;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı
Anestezi;Standart;1.04.2019;Hemşire;E;Gözlem Dışı;Gözlem Dışı;Yok;Gözlem Dışı;Gözlem Dışı
Anestezi;Standart;1.04.2019;Hemşire;K;Gözlem Dışı;Yok;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı
Anestezi;Standart;1.04.2019;Hemşire;E;Ovma;Gözlem Dışı;Ovma;Gözlem Dışı;Yıkama
Anestezi;Standart;1.04.2019;Hemşire;K;Gözlem Dışı;Ovma;Gözlem Dışı;Ovma;Gözlem Dışı
Anestezi;Standart;1.04.2019;Hemşire;K;Gözlem Dışı;Yıkama;Gözlem Dışı;Yıkama;Gözlem Dışı
Anestezi;Standart;1.04.2019;Hemşire;Bilgi Yok;Gözlem Dışı;Yıkama;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı
Anestezi;Standart;1.04.2019;Hemşire;E;Gözlem Dışı;Yıkama;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı
Anestezi;Standart;1.04.2019;Doktor;E;Gözlem Dışı;Ovma;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı
Anestezi;Standart;1.04.2019;Hasta Bakıcı;E;Yok;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı
Anestezi;Standart;1.04.2019;Hasta Bakıcı;E;Yok;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı;Yok
Anestezi;Standart;1.04.2019;Hasta Bakıcı;E;Yok;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı;Gözlem Dışı
